contig_id,name,start,stop,evalue,bitscore,truncated,accession
Cluster-70816.97025_Frame+3,Mo25,3,321,1.8015e-146,413.41,-,pfam08569
Cluster-70816.97026_Frame+3,Mo25,3,321,1.8015e-146,413.41,-,pfam08569
Cluster-70816.55703_Frame+2,Chorein_N,3,96,1.00496e-15,74.1444,-,pfam12624
Cluster-70816.55703_Frame+2,Prefoldin,1168,1284,0.00809565,37.6125,-,cl09111
Cluster-70816.55702_Frame+2,COG5099,549,762,0.00159109,42.4262,C,COG5099
Cluster-70816.55702_Frame+2,ZapB,1004,1050,0.0058244,36.4406,N,pfam06005
Cluster-70816.55702_Frame+2,Prefoldin,919,1035,0.00649056,37.6125,-,cl09111
Cluster-70816.55705_Frame-1,PTKc_Src_like,249,496,1.47187e-168,475.619,-,cd05034
Cluster-70816.55705_Frame-1,SH2,119,219,3.54242e-47,158.9,-,cl15255
Cluster-70816.55705_Frame-1,SH3_Src_like,60,111,1.6835e-20,84.5564,-,cd11845
Cluster-8860.0_Frame-1,14-3-3,1,90,7.96071e-56,171.802,NC,cl02098
Cluster-70816.86339_!WTR_Frame+3,O-FucT_like,1,176,3.3272e-95,281.081,N,cl16914
Cluster-13350.0_Frame-2,Tropomyosin,41,148,1.68685e-27,101.995,C,pfam00261
Cluster-70816.163306_Frame+2,VWA_N,95,174,5.1648e-25,95.4998,N,pfam08399
Cluster-70816.163306_Frame+2,vWFA,187,252,7.9264e-22,89.3757,C,cl00057
Cluster-31925.0_!WTR_Frame-2,RT_like,1,61,7.78403e-18,71.8577,NC,cl02808
Cluster-70816.137555_Frame+2,PHA03247,140,416,9.43521e-05,45.6997,N,PHA03247
Cluster-70816.137555_Frame+2,zf-H2C2_2,477,503,0.00367286,35.0213,-,pfam13465
Cluster-70816.107034_Frame+1,p450,22,115,2.11166e-25,99.6534,N,pfam00067
Cluster-70816.105645_Frame-1,TPR,239,422,2.13439e-11,64.8673,N,COG0457
Cluster-32934.0_!WTR_Frame-2,UPF0193,17,113,3.71987e-09,51.5389,C,pfam05250
Cluster-70816.152506_Frame+3,Peptidase_M2,16,600,0,942.385,-,pfam01401
Cluster-70816.87689_Frame+2,ig,64,146,3.62507e-05,40.6274,-,pfam00047
Cluster-70816.87689_Frame+2,Ig,18,46,0.000761753,37.2669,N,cl11960
Cluster-70816.102347_Frame+2,PrpE,70,687,0,971.019,-,cd05967
Cluster-70816.102349_!WTR_Frame-1,PH-like,2,75,8.52846e-30,102.306,N,cl17171
Cluster-70816.107032_Frame-1,Neur_chan_memb,18,242,1.86942e-37,131.244,-,pfam02932
Cluster-70816.111489_Frame-1,7tm_GPCRs,644,960,3.30224e-75,250.755,-,cl28897
Cluster-70816.111489_Frame-1,LRR_8,10,64,3.28348e-06,45.5913,-,pfam13855
Cluster-70816.111489_Frame-1,GPS,585,626,8.72199e-06,44.2787,-,pfam01825
Cluster-70816.111489_Frame-1,IG_like,126,232,0.00884727,37.0997,-,smart00410
Cluster-70816.104594_Frame+1,DEXQc_SRCAP,1882,2104,4.77755e-168,516.135,-,cd18003
Cluster-70816.104594_Frame+1,SF2_C_SNF,2695,2827,1.03621e-60,205.018,-,cd18793
Cluster-70816.104594_Frame+1,PHA03247,2244,2494,0.000293259,46.8553,N,PHA03247
Cluster-70816.104593_Frame-3,Sm_D2,24,113,3.81003e-57,171.36,-,cd01720
Cluster-70816.104591_Frame-2,Myosin_tail_1,20,789,6.79004e-74,260.878,C,pfam01576
Cluster-70816.121336_Frame-3,PLN03085,2,79,0.00353198,35.3468,N,PLN03085
Cluster-70816.107033_Frame-3,Bromodomain,409,524,1.09592e-50,173.798,-,cl02556
Cluster-70816.107033_Frame-3,Bromo_WDR9_I_like,238,352,3.35906e-33,124.372,-,cd05529
Cluster-93671.0_!WTR_Frame-3,FYTT,5,48,0.00392231,33.0347,NC,pfam07078
Cluster-70816.10366_Frame-3,C2_KIAA0528-like,5,129,3.29793e-61,203.693,-,cd08688
Cluster-70816.91099_Frame+2,RRM2_Spen,278,356,1.37232e-49,167.578,-,cd12309
Cluster-70816.91099_Frame+2,RRM1_Spen,70,147,5.5742e-34,124.295,-,cd12308
Cluster-70816.91099_Frame+2,RRM3_Spen,363,433,2.14149e-31,116.536,-,cd12310
Cluster-70816.91099_Frame+2,SPOC,548,708,6.12335e-24,97.8044,-,pfam07744
Cluster-70816.91099_Frame+2,RRM,22,180,0.000760591,42.2414,NC,COG0724
Cluster-70816.91096_Frame+3,zf-C2H2,10,32,0.00358159,33.4296,-,pfam00096
Cluster-70816.91092_Frame-2,Cgr1,2,80,0.00499115,33.3167,N,pfam03879
Cluster-70816.91090_Frame-1,PRK07106,201,589,0,662.514,-,PRK07106
Cluster-70816.91090_Frame-1,IMPCH,6,191,1.08197e-101,305.677,-,cd01421
Cluster-1683.0_Frame-1,UDG_like,1,134,2.21136e-86,250.593,C,cl00483
Cluster-70816.43358_Frame-2,RNase_H_like,65,97,1.13279e-08,48.2577,C,cl14782
Cluster-70816.118501_Frame+1,Sulfotransfer_3,210,424,3.89154e-15,73.9414,-,pfam13469
Cluster-70816.118502_Frame+2,Sulfotransfer_3,322,536,4.37456e-16,77.023,-,pfam13469
Cluster-70816.134890_!WTR_Frame+1,zf-H2C2_2,47,72,1.31038e-05,38.1029,-,pfam13465
Cluster-70816.134890_!WTR_Frame+1,zf-H2C2_5,61,85,0.000377695,34.1007,-,pfam13909
Cluster-70816.134890_!WTR_Frame+1,zf-C2H2,34,55,0.0017526,32.6592,-,pfam00096
Cluster-70816.134892_!WTR_Frame+3,zf-H2C2_2,37,62,3.15691e-05,36.5621,-,pfam13465
Cluster-70816.134892_!WTR_Frame+3,zf-H2C2_5,51,75,0.000835949,32.9451,-,pfam13909
Cluster-70816.134892_!WTR_Frame+3,zf-C2H2,24,45,0.0043527,31.1184,-,pfam00096
Cluster-70816.119414_Frame-1,UPRTase,33,236,9.9686e-110,314.029,-,pfam14681
Cluster-70816.39908_Frame-1,Homeobox,113,163,3.4361e-25,91.0135,-,pfam00046
Cluster-70816.39903_Frame-3,AdoMet_MTases,31,241,3.27585e-08,53.1114,-,cl17173
Cluster-70816.39907_!WTR_Frame-1,PRK13878,7,76,0.00250752,35.0916,NC,PRK13878
Cluster-70816.39904_Frame-2,InfB,5,638,0,542.133,N,cl30717
Cluster-99797.0_!WTR_Frame+2,Spec3,328,416,5.2273e-29,108.428,-,pfam15795
