contig_id,name,start,stop,evalue,bitscore,truncated,accession
Cluster-70816.96089_Frame-2,Myo5_CBD,423,795,0,527.165,-,cd15470
Cluster-70816.96089_Frame-2,EnvC,133,399,1.74584e-10,63.5877,C,COG4942
Cluster-70816.96088_Frame-1,MYSc_Myo5,84,739,0,1287.11,-,cd01380
Cluster-70816.96088_Frame-1,Smc,890,1045,1.55388e-08,58.9576,C,COG1196
Cluster-70816.96088_Frame-1,IQ,801,823,0.00633821,34.9939,-,smart00015
Cluster-70816.96084_Frame-2,PLN03142,32,278,3.80499e-67,235.465,NC,PLN03142
Cluster-70816.96084_Frame-2,Bromodomain,405,511,1.36474e-47,161.441,-,cl02556
Cluster-70816.96084_Frame-2,SnAC,286,348,5.3383e-11,58.3851,-,pfam14619
Cluster-70816.96084_Frame-2,SNF2_N,1,51,0.00387571,39.3021,N,pfam00176
Cluster-70816.96086_Frame-2,hnRNP-L_PTB,78,352,2.39438e-106,319.84,C,TIGR01649
Cluster-70816.96083_Frame+2,FN3,31,114,2.3192e-11,59.4323,-,cd00063
Cluster-70816.95578_Frame+1,DnaJ,20,341,8.71539e-83,256.013,-,COG0484
Cluster-70816.112372_Frame-1,PDZ,259,300,0.000331484,38.7019,N,cl00117
Cluster-70816.124757_Frame-1,RING_CH-C4HC3_MARCH5,20,80,2.42775e-42,138.378,-,cd16701
Cluster-70816.124754_Frame-1,COesterase,1,63,1.50993e-13,62.7128,N,pfam00135
Cluster-70816.49435_Frame-1,LGIC_TM_anion,50,191,1.61898e-16,71.3291,-,cd19049
Cluster-70816.49430_Frame-3,LGIC_TM_anion,30,115,9.42315e-09,48.9875,N,cd19049
Cluster-70816.49432_Frame-2,LIC,32,385,1.94267e-30,120.974,-,TIGR00860
Cluster-70816.49433_Frame-2,LIC,32,390,9.18562e-31,122.129,-,TIGR00860
Cluster-70816.56378_!WTR_Frame+1,IG,152,222,1.63891e-12,61.7524,-,smart00409
Cluster-70816.56378_!WTR_Frame+1,IG_like,50,141,8.7301e-08,48.6557,-,smart00410
Cluster-70816.94621_Frame+2,Amidase,63,505,5.05442e-93,290.738,-,cl18951
Cluster-70816.94620_!WTR_Frame+2,LMWPTP,8,154,2.8732e-70,208.446,-,cd16343
Cluster-70816.94627_Frame+3,IFRD,22,318,1.93255e-83,258.339,-,pfam05004
Cluster-70816.94627_Frame+3,IFRD_C,368,420,4.08349e-07,46.4409,-,pfam04836
Cluster-70816.56375_Frame-3,UCH,236,506,1.69832e-25,107.088,C,pfam00443
Cluster-70816.110145_Frame+2,Ank_2,146,238,9.0179e-22,90.1658,-,pfam12796
Cluster-9591.0_Frame+1,FReD,44,195,9.65135e-82,241.658,C,cl00085
Cluster-70816.162400_Frame-2,CNDH2_C,113,245,1.86845e-38,136.295,N,pfam16858
Cluster-70816.93749_Frame+3,FMT_core,21,223,4.13046e-137,389.115,-,cl00395
Cluster-70816.93749_Frame+3,FDH_Hydrolase_C,227,325,6.99092e-49,160.204,-,cd08703
Cluster-764.0_Frame+1,PLN03088,4,121,6.53034e-18,80.2161,C,PLN03088
Cluster-764.0_Frame+1,Secretin_N,122,159,0.0081136,33.7018,N,pfam03958
Cluster-70816.79859_Frame-1,MDN1,657,848,9.51247e-07,52.6939,N,COG5271
Cluster-70816.79859_Frame-1,PHA03255,582,728,3.28963e-06,49.1318,C,PHA03255
Cluster-70816.79859_Frame-1,MDN1,378,556,0.00868589,39.9824,N,COG5271
Cluster-70816.79859_Frame-1,SelP_N,202,278,0.00869242,38.5654,N,pfam04592
Cluster-70816.79856_Frame-1,MARVEL,48,185,3.8908e-10,55.39,-,pfam01284
Cluster-70816.79851_Frame-2,P4Hc,353,526,8.44046e-53,176.81,-,smart00702
Cluster-70816.79851_Frame-2,P4Ha_N,24,156,2.85923e-43,150.106,-,pfam08336
Cluster-70816.79853_Frame-2,P4Hc,353,526,8.44046e-53,176.81,-,smart00702
Cluster-70816.79853_Frame-2,P4Ha_N,24,156,2.85923e-43,150.106,-,pfam08336
Cluster-70816.79852_Frame-2,P4Hc,353,526,8.44046e-53,176.81,-,smart00702
Cluster-70816.79852_Frame-2,P4Ha_N,24,156,2.85923e-43,150.106,-,pfam08336
Cluster-70816.90018_Frame+2,RhoGAP,56,230,1.45177e-35,130.114,-,cd00159
Cluster-70816.90019_Frame+2,RhoGAP,56,230,2.33081e-35,130.114,-,cd00159
Cluster-70816.90017_Frame+2,RhoGAP,56,230,1.99523e-35,130.114,-,cd00159
Cluster-70816.90012_Frame+3,SLC5-6-like_sbd,11,423,1.48345e-60,207.159,-,cl00456
Cluster-70816.90013_Frame+2,PLN03129,71,584,0,870.386,-,PLN03129
