contig_id,name,start,stop,evalue,bitscore,truncated,accession
Cluster-70816.104229_Frame-2,LIC,72,560,3.47824e-112,342.078,-,TIGR00860
Cluster-70816.104220_Frame+1,PLN00124,1,298,2.80125e-106,315.918,C,PLN00124
Cluster-70816.104221_Frame+1,PLN00124,1,298,2.80125e-106,315.918,C,PLN00124
Cluster-70816.104223_Frame-2,PEMT,282,625,6.51001e-78,253.901,-,cl21511
Cluster-70816.104223_Frame-2,TUDOR,2,51,5.15256e-07,46.6599,C,cl02573
Cluster-70816.104223_Frame-2,PRK10819,87,124,0.000130314,43.9029,NC,PRK10819
Cluster-70816.104225_!WTR_Frame-3,PitA,49,220,1.66258e-44,154.279,C,COG0306
Cluster-70816.101768_Frame+2,alkPPc,60,508,2.03691e-164,473.843,-,smart00098
Cluster-70816.101764_Frame+1,vigilin_like_KH,253,313,1.69786e-20,85.6412,-,cd02394
Cluster-70816.101764_Frame+1,vigilin_like_KH,719,778,9.9347e-18,77.552,-,cd02394
Cluster-70816.101764_Frame+1,vigilin_like_KH,790,850,1.07077e-15,71.7741,-,cd02394
Cluster-70816.101764_Frame+1,vigilin_like_KH,398,460,1.90385e-15,71.3889,-,cd02394
Cluster-70816.101764_Frame+1,vigilin_like_KH,324,383,2.65261e-15,70.6185,-,cd02394
Cluster-70816.101764_Frame+1,vigilin_like_KH,636,697,1.03961e-14,69.0777,-,cd02394
Cluster-70816.101764_Frame+1,vigilin_like_KH,108,167,3.32048e-14,67.5369,-,cd02394
Cluster-70816.101764_Frame+1,vigilin_like_KH,178,240,4.49364e-14,67.1517,-,cd02394
Cluster-70816.101764_Frame+1,vigilin_like_KH,471,533,2.23229e-12,62.5293,-,cd02394
Cluster-70816.101764_Frame+1,vigilin_like_KH,38,95,9.15041e-11,57.9069,-,cd02394
Cluster-70816.101764_Frame+1,vigilin_like_KH,545,630,2.43264e-10,56.7513,-,cd02394
Cluster-70816.101763_Frame+3,vigilin_like_KH,167,225,2.6786e-17,72.9297,-,cd02394
Cluster-70816.146476_Frame+2,ALP_like,10,229,1.22274e-68,219.996,N,cl23718
Cluster-70816.103945_Frame+3,M28_PSMA_like,366,605,1.58037e-90,285.278,N,cd08022
Cluster-70816.103945_Frame+3,PA_GCPII_like,159,358,1.2487e-64,214.076,-,cd02121
Cluster-70816.103945_Frame+3,TFR_dimer,639,750,6.88327e-17,76.9021,-,pfam04253
Cluster-70816.103945_Frame+3,M28_PSMA_like,74,130,1.25289e-13,71.8776,C,cd08022
Cluster-70816.103946_Frame-2,Ubl_ubiquitin,1,76,2.99656e-56,169.162,-,cd01803
Cluster-70816.103946_Frame-2,Ribosomal_L40e,78,127,4.27809e-31,104.721,-,pfam01020
Cluster-70816.103947_Frame+2,NKAP,59,123,0.000121081,40.8237,-,pfam15692
Cluster-70816.103940_Frame-3,PLN03142,1165,1696,1.08673e-153,507.031,C,PLN03142
Cluster-70816.103940_Frame-3,Med15,232,598,1.38031e-31,134.751,C,pfam09606
Cluster-70816.103940_Frame-3,CD2_tandem_CHD5-9_like,1073,1127,1.02766e-27,107.375,-,cd18663
Cluster-70816.103940_Frame-3,CD1_tandem_CHD5-9_like,965,1054,5.99497e-24,97.022,-,cd18668
Cluster-70816.103940_Frame-3,MISS,119,322,3.38212e-06,50.755,-,pfam15822
Cluster-70816.103940_Frame-3,PTZ00121,2386,2711,0.00139107,44.3615,N,PTZ00121
Cluster-70816.103943_Frame+1,PTZ00449,357,475,0.00107731,41.599,NC,PTZ00449
Cluster-70816.103949_Frame+3,RhoGAP,1624,1825,1.76088e-101,324.371,-,cl02570
Cluster-70816.103949_Frame+3,SAM_DLC1,2-like,1133,1191,4.46235e-32,119.445,-,cd09538
Cluster-70816.103949_Frame+3,Retinal,1034,1124,0.00118349,43.6315,N,pfam15449
Cluster-70816.70382_Frame-2,PLN02353,6,462,0,775.005,-,PLN02353
Cluster-70816.70380_Frame+1,PTZ00457,11,109,2.43496e-10,56.0428,N,PTZ00457
Cluster-70816.70381_Frame-3,PLN02353,2,166,8.27982e-78,239.578,N,PLN02353
Cluster-70816.70387_Frame+3,MPN_BRCC36,3,243,2.89536e-98,287.707,-,cd08068
Cluster-70816.70388_Frame+2,MPN,1,165,1.26449e-61,191.407,N,cl13996
Cluster-70816.70389_Frame+2,MPN_BRCC36,3,243,2.89536e-98,287.707,-,cd08068
Cluster-70816.91360_!WTR_Frame+3,RT_like,14,48,0.0013891,34.5742,C,cl02808
Cluster-70816.40756_Frame+2,DUF5401,555,762,0.000139135,45.2036,N,pfam17380
Cluster-70816.116597_Frame+2,Acyl_transf_3,307,656,6.06861e-16,79.5033,-,pfam01757
Cluster-70816.116597_Frame+2,NRF,91,211,6.05532e-11,59.6632,C,smart00703
Cluster-36873.0_Frame+2,HAD_like,9,63,0.00165489,34.4852,N,cl21460
Cluster-70816.41809_Frame-1,p450,2,358,1.36364e-96,294.564,N,pfam00067
Cluster-70816.41808_Frame+3,p450,26,104,9.31047e-12,59.9778,C,pfam00067
Cluster-70816.100418_Frame+2,PTZ00184,7,153,8.53529e-30,105.614,-,PTZ00184
Cluster-70816.100414_Frame-3,PTP-IVa,14,167,8.42876e-99,281.802,-,cd14500
Cluster-70816.82899_Frame-1,HMGB-UBF_HMG-box,42,108,2.35416e-11,58.4081,-,cd01390
Cluster-70816.82899_Frame-1,NHP6B,39,173,2.64336e-10,59.1055,N,COG5648
Cluster-70816.116592_Frame+2,Bcl-2_like,1,107,6.34408e-28,100.1,N,cd06845
Cluster-70816.82898_!WTR_Frame-3,PAC4,26,95,3.54343e-10,51.764,-,pfam16093
Cluster-70816.125771_Frame+2,P-loop_NTPase,28,177,7.42837e-102,290.848,-,cl21455
Cluster-70816.145929_Frame+3,MitMem_reg,1079,1120,0.00318384,37.0578,C,pfam13012
Cluster-12830.0_Frame-2,MAGP,4,33,0.00307839,32.2146,C,pfam05507
Cluster-70816.55661_Frame+1,Prefoldin,50,161,1.28003e-14,69.9692,-,pfam02996
Cluster-70816.147338_Frame-2,Pellino,1,258,0,507.226,N,pfam04710
Cluster-70816.127954_Frame+2,STKc_cPKC,340,659,0,637.127,-,cd05587
Cluster-70816.127954_Frame+2,C2_PKC_alpha_gamma,168,297,5.70417e-81,252.183,-,cd04026
Cluster-70816.127954_Frame+2,C1_1,46,96,9.38601e-22,88.6427,-,pfam00130
Cluster-70816.127954_Frame+2,C1_1,111,161,1.52576e-18,79.3979,-,pfam00130
Cluster-5435.0_Frame-3,Ubl_FUBI,1,74,1.65081e-37,120.465,-,cd01793
Cluster-5435.0_Frame-3,Ribosomal_S30,75,91,9.03157e-10,49.9401,C,cl21569
Cluster-70816.136299_Frame+3,DAXX_histone_binding,62,259,5.51102e-60,193.608,-,cd13150
Cluster-70816.144741_Frame+3,RT_like,3,70,8.00264e-07,43.819,N,cl02808
Cluster-70816.64557_!WTR_Frame-3,RHOD,40,77,2.38097e-06,41.2576,C,cl00125
Cluster-100072.0_Frame+2,SpeA,7,56,0.00900961,33.4427,NC,COG1166
Cluster-70816.102868_Frame+3,PH_Rpn13,18,122,1.90291e-69,212.515,-,cd13314
Cluster-70816.102868_Frame+3,RPN13_C,226,321,2.27426e-34,121.972,-,pfam16550
Cluster-70816.102869_Frame-2,BSMAP,241,322,4.88704e-07,49.6239,C,pfam12280
Cluster-70816.59354_Frame-2,IQ,626,647,1.18246e-05,42.3127,-,smart00015
Cluster-70816.59354_Frame-2,IQ,582,602,0.000116999,39.6163,-,smart00015
Cluster-70816.59354_Frame-2,IQ,113,133,0.000234626,38.4607,-,smart00015
Cluster-70816.59354_Frame-2,IQ,316,335,0.000669831,37.3051,-,smart00015
Cluster-70816.59354_Frame-2,IQ,224,246,0.00168414,36.1495,-,smart00015
Cluster-70816.59354_Frame-2,IQ,785,805,0.00186636,36.1352,-,pfam00612
Cluster-70816.59354_Frame-2,IQ,752,770,0.00328206,35.3791,-,smart00015
Cluster-70816.59354_Frame-2,IQ,708,726,0.00425312,34.9796,-,pfam00612
Cluster-70816.59355_Frame-2,IQ,626,647,1.18246e-05,42.3127,-,smart00015
Cluster-70816.59355_Frame-2,IQ,582,602,0.000116999,39.6163,-,smart00015
Cluster-70816.59355_Frame-2,IQ,113,133,0.000234626,38.4607,-,smart00015
Cluster-70816.59355_Frame-2,IQ,316,335,0.000669831,37.3051,-,smart00015
Cluster-70816.59355_Frame-2,IQ,224,246,0.00168414,36.1495,-,smart00015
Cluster-70816.59355_Frame-2,IQ,785,805,0.00186636,36.1352,-,pfam00612
Cluster-70816.59355_Frame-2,IQ,752,770,0.00328206,35.3791,-,smart00015
Cluster-70816.59355_Frame-2,IQ,708,726,0.00425312,34.9796,-,pfam00612
Cluster-70816.59356_Frame-3,IQ,626,647,1.18246e-05,42.3127,-,smart00015
Cluster-70816.59356_Frame-3,IQ,582,602,0.000116999,39.6163,-,smart00015
